,the,to,of,in,and,said,a,s,for,oil,mln,u,on,that,from,at,it,is,by,tonnes
reuters-topics/crude/article485.txt,49,23,20,11,19,7,14,11,4,10,2,0,5,1,3,4,5,10,4,0
reuters-topics/crude/article308.txt,18,9,9,8,9,5,4,5,7,5,0,0,4,2,1,0,0,0,1,0
reuters-topics/crude/article334.txt,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,2,0
reuters-topics/crude/article452.txt,4,4,2,1,3,2,1,1,0,3,5,0,0,1,2,0,1,0,1,0
reuters-topics/crude/article446.txt,31,9,7,5,6,7,5,5,4,11,2,5,5,3,3,0,3,1,4,0
reuters-topics/crude/article320.txt,4,1,2,4,4,2,2,0,1,3,0,0,3,0,0,1,0,0,1,0
reuters-topics/crude/article447.txt,11,7,2,2,1,4,2,3,4,4,2,0,2,0,2,1,0,1,0,0
reuters-topics/crude/article321.txt,31,8,7,10,12,7,11,4,3,8,0,3,4,12,1,5,1,2,1,0
reuters-topics/crude/article335.txt,1,0,3,0,1,1,1,0,0,3,3,0,0,0,1,1,0,0,0,0
reuters-topics/crude/article453.txt,16,9,4,3,8,4,6,7,3,12,0,5,6,4,0,0,1,1,2,0
reuters-topics/crude/article309.txt,27,14,8,9,6,7,4,5,2,9,3,0,2,2,1,1,1,3,5,0
reuters-topics/crude/article484.txt,2,2,3,3,3,2,2,0,0,0,0,0,1,0,0,0,2,0,0,0
reuters-topics/crude/article490.txt,15,9,5,2,4,6,7,2,0,4,1,2,4,1,0,2,2,0,1,0
reuters-topics/crude/article123.txt,6,8,0,4,0,2,4,3,1,4,0,0,1,0,3,0,1,0,1,0
reuters-topics/crude/article137.txt,23,13,7,8,8,9,13,9,3,4,0,6,8,6,0,3,4,0,5,0
reuters-topics/crude/article057.txt,1,1,1,1,1,2,0,2,0,2,1,2,0,0,0,1,0,1,0,0
reuters-topics/crude/article043.txt,8,2,3,1,2,3,3,0,1,3,0,0,1,2,1,0,5,0,2,0
reuters-topics/crude/article094.txt,2,1,5,1,4,3,0,1,1,5,0,0,0,0,0,1,3,0,0,0
reuters-topics/crude/article080.txt,3,0,0,1,1,3,4,0,1,3,0,0,0,0,0,0,1,2,2,0
reuters-topics/crude/article533.txt,25,16,9,5,2,7,5,5,3,3,0,0,2,2,0,1,4,1,3,0
reuters-topics/crude/article255.txt,36,16,16,37,8,10,8,3,4,10,28,1,11,4,8,4,5,8,5,6
reuters-topics/crude/article241.txt,5,2,1,1,0,3,2,2,0,1,0,1,0,0,0,0,3,0,1,0
reuters-topics/crude/article527.txt,13,2,7,6,4,5,4,5,0,4,0,0,6,0,1,3,2,0,1,0
reuters-topics/crude/article269.txt,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article296.txt,34,17,19,13,8,4,13,9,3,7,5,9,4,3,5,2,0,2,4,0
reuters-topics/crude/article282.txt,7,5,2,6,3,4,0,0,0,2,9,0,0,0,0,1,1,0,1,0
reuters-topics/crude/article294.txt,1,2,8,1,6,3,1,0,0,5,4,0,0,0,1,1,1,0,1,0
reuters-topics/crude/article280.txt,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article519.txt,5,3,3,3,2,1,2,1,2,0,4,0,0,0,0,1,1,1,0,0
reuters-topics/crude/article257.txt,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article531.txt,17,15,8,9,8,5,3,5,0,5,1,0,2,0,2,0,1,1,3,0
reuters-topics/crude/article525.txt,12,3,7,2,4,3,5,3,3,10,0,3,6,0,0,3,0,2,0,0
reuters-topics/crude/article243.txt,6,1,2,2,1,3,5,1,2,5,0,1,0,2,0,0,1,1,1,0
reuters-topics/crude/article096.txt,12,13,13,4,4,6,2,2,4,4,2,0,3,0,2,2,4,1,0,11
reuters-topics/crude/article082.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
reuters-topics/crude/article069.txt,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article055.txt,24,15,8,5,7,9,4,6,4,6,0,4,6,3,1,5,6,2,0,0
reuters-topics/crude/article041.txt,17,11,7,5,1,4,5,5,3,8,0,4,2,1,0,1,0,3,2,0
reuters-topics/crude/article109.txt,3,7,1,2,0,4,1,1,3,5,1,0,0,0,0,0,1,1,0,0
reuters-topics/crude/article121.txt,10,3,0,3,1,2,2,3,0,2,0,3,3,2,0,0,1,0,0,0
reuters-topics/crude/article135.txt,15,3,1,3,1,4,2,10,3,1,0,8,3,2,3,1,4,1,1,0
reuters-topics/crude/article486.txt,21,10,5,8,5,4,8,1,4,3,0,1,2,3,0,2,0,2,1,0
reuters-topics/crude/article492.txt,21,11,9,10,2,2,10,5,5,4,12,4,1,4,7,2,0,0,1,0
reuters-topics/crude/article479.txt,8,7,7,1,5,5,8,2,0,0,2,0,2,3,1,0,3,3,0,1
reuters-topics/crude/article323.txt,8,1,1,1,2,2,1,2,1,5,1,0,2,0,1,0,1,1,2,0
reuters-topics/crude/article445.txt,14,6,3,5,6,1,11,0,2,2,0,0,4,1,0,3,0,0,0,0
reuters-topics/crude/article451.txt,37,15,17,17,12,10,5,0,9,9,1,4,10,5,1,2,4,2,1,0
reuters-topics/crude/article337.txt,3,2,1,0,0,2,4,0,1,3,0,0,0,1,1,0,1,0,1,0
reuters-topics/crude/article450.txt,16,4,14,14,9,9,6,4,1,5,0,0,2,9,3,1,1,1,0,0
reuters-topics/crude/article336.txt,11,6,7,2,5,7,1,0,2,3,3,0,2,0,2,1,6,0,0,0
reuters-topics/crude/article322.txt,8,4,4,0,6,1,4,2,1,3,0,0,6,1,0,1,1,0,3,0
reuters-topics/crude/article444.txt,8,3,5,2,3,5,2,2,1,1,2,1,0,0,1,2,1,1,0,0
reuters-topics/crude/article478.txt,5,3,4,12,4,2,1,1,1,3,3,0,1,0,4,2,1,0,0,0
reuters-topics/crude/article493.txt,9,5,3,12,2,5,7,6,2,5,4,4,1,2,7,0,1,0,1,0
reuters-topics/crude/article487.txt,7,1,5,4,4,3,9,0,0,4,0,0,1,0,2,1,1,2,0,0
reuters-topics/crude/article134.txt,5,3,3,0,1,2,2,3,3,5,0,0,2,0,0,0,0,0,1,0
reuters-topics/crude/article120.txt,6,2,6,1,1,2,3,2,1,6,0,0,1,0,0,0,0,1,0,0
reuters-topics/crude/article108.txt,14,7,8,4,5,7,6,3,2,10,0,0,0,1,1,3,0,1,0,0
reuters-topics/crude/article040.txt,38,14,12,6,9,8,9,3,1,6,0,1,5,10,3,4,2,10,6,0
reuters-topics/crude/article054.txt,15,20,8,7,8,9,8,9,8,10,13,5,3,3,3,3,1,5,1,0
reuters-topics/crude/article068.txt,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article083.txt,5,2,0,0,1,1,3,1,1,5,0,1,0,0,0,0,1,0,3,0
reuters-topics/crude/article097.txt,21,12,8,17,2,5,6,4,3,6,5,0,1,0,8,1,2,0,3,3
reuters-topics/crude/article524.txt,19,4,8,7,8,8,6,6,0,7,0,0,6,0,1,5,4,0,1,0
reuters-topics/crude/article242.txt,9,2,3,8,3,3,2,2,0,2,1,0,0,0,1,1,0,0,0,0
reuters-topics/crude/article256.txt,37,15,16,36,8,11,9,1,4,8,11,0,7,4,8,4,4,7,5,8
reuters-topics/crude/article530.txt,11,12,5,10,15,8,7,0,1,5,10,0,2,0,5,0,2,2,0,0
reuters-topics/crude/article518.txt,44,15,22,10,19,16,9,11,3,11,0,4,5,8,1,4,3,7,1,0
reuters-topics/crude/article281.txt,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article295.txt,3,1,1,1,1,2,3,1,1,4,0,1,0,0,0,0,1,0,0,0
reuters-topics/crude/article291.txt,5,2,6,0,1,2,0,0,1,2,0,0,0,0,0,3,1,1,0,0
reuters-topics/crude/article285.txt,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article534.txt,11,11,7,7,12,9,8,4,6,10,8,2,2,2,3,5,8,2,2,0
reuters-topics/crude/article252.txt,9,2,6,4,3,4,4,3,1,3,1,0,1,2,0,1,0,1,0,0
reuters-topics/crude/article246.txt,8,4,5,4,6,4,5,3,1,0,1,0,2,1,0,0,5,0,1,1
reuters-topics/crude/article520.txt,18,10,2,3,2,6,3,1,1,2,0,0,2,2,0,0,5,1,1,0
reuters-topics/crude/article508.txt,29,23,15,13,12,8,6,12,3,8,3,1,5,5,3,1,5,6,5,0
reuters-topics/crude/article093.txt,3,2,2,0,0,1,4,1,2,2,0,0,1,0,0,2,2,0,0,0
reuters-topics/crude/article087.txt,6,2,3,0,2,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0
reuters-topics/crude/article050.txt,6,5,3,5,8,2,9,2,3,5,1,0,3,3,1,0,3,3,1,0
reuters-topics/crude/article044.txt,2,3,0,3,1,2,3,0,1,2,0,0,3,0,2,0,0,1,0,0
reuters-topics/crude/article078.txt,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article124.txt,20,8,9,8,2,5,6,2,3,4,0,1,1,1,0,1,0,2,2,0
reuters-topics/crude/article130.txt,3,1,1,1,3,1,3,4,2,2,0,3,3,0,0,1,0,0,1,0
reuters-topics/crude/article118.txt,19,8,7,4,7,3,6,4,5,6,0,0,0,2,2,5,3,1,2,0
reuters-topics/crude/article483.txt,3,2,3,3,3,0,1,4,0,4,6,0,1,0,2,0,0,0,0,0
reuters-topics/crude/article497.txt,0,2,0,0,0,0,0,2,0,2,0,2,2,0,0,0,0,0,0,0
reuters-topics/crude/article440.txt,11,3,5,2,0,4,4,0,2,5,2,0,1,3,3,0,1,0,2,0
reuters-topics/crude/article326.txt,6,1,1,2,0,3,3,1,0,2,0,1,0,0,0,3,1,0,0,0
reuters-topics/crude/article332.txt,4,1,3,1,4,3,1,4,1,3,1,4,2,1,2,0,3,0,1,0
reuters-topics/crude/article454.txt,12,11,8,7,7,6,9,7,0,5,0,2,1,0,0,2,1,0,0,0
reuters-topics/crude/article468.txt,3,6,4,2,4,4,3,1,2,4,0,1,0,0,1,1,3,0,0,0
reuters-topics/crude/article469.txt,10,13,5,5,2,9,1,5,1,4,0,0,0,2,2,1,0,2,4,0
reuters-topics/crude/article333.txt,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article455.txt,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,0,0,0,0,0
reuters-topics/crude/article441.txt,5,3,2,2,0,4,2,4,3,4,0,2,0,0,0,0,1,0,0,0
reuters-topics/crude/article327.txt,3,0,3,4,3,2,2,0,0,3,0,0,0,1,1,0,0,0,1,0
reuters-topics/crude/article496.txt,16,11,5,2,2,1,2,1,2,3,1,0,0,0,0,0,2,2,3,0
reuters-topics/crude/article482.txt,10,3,0,5,1,6,4,3,2,3,14,2,0,0,8,1,1,0,1,0
reuters-topics/crude/article119.txt,6,5,2,1,3,6,5,3,0,1,1,0,0,1,3,0,2,2,1,0
reuters-topics/crude/article131.txt,23,13,10,14,3,10,6,7,4,5,1,0,4,0,4,5,0,0,6,0
reuters-topics/crude/article125.txt,7,0,4,5,1,1,1,2,0,2,2,2,2,0,0,1,0,0,2,0
reuters-topics/crude/article079.txt,2,0,0,0,1,3,2,1,2,1,0,0,0,0,0,1,1,2,1,0
reuters-topics/crude/article045.txt,22,15,14,7,11,12,12,4,6,12,1,0,2,3,0,1,7,2,3,0
reuters-topics/crude/article051.txt,8,4,5,6,0,4,4,1,1,6,0,1,0,0,0,0,0,1,3,0
reuters-topics/crude/article086.txt,2,0,1,0,1,2,3,0,1,1,0,0,0,0,0,0,1,2,1,0
reuters-topics/crude/article092.txt,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article509.txt,6,2,2,2,2,2,4,0,0,2,0,0,1,1,0,4,0,1,1,0
reuters-topics/crude/article247.txt,27,31,11,7,16,15,6,2,3,15,2,1,4,17,2,3,5,5,1,0
reuters-topics/crude/article521.txt,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article535.txt,1,2,1,1,2,2,2,0,1,3,4,0,0,1,0,1,0,0,0,0
reuters-topics/crude/article253.txt,11,1,7,4,2,2,1,0,0,5,0,0,1,0,1,0,1,2,0,0
reuters-topics/crude/article284.txt,10,3,0,5,1,6,4,3,2,3,14,2,0,0,8,1,1,0,1,0
reuters-topics/crude/article290.txt,8,4,1,7,7,5,3,1,0,1,1,0,1,1,1,0,2,1,0,0
reuters-topics/crude/article286.txt,14,6,11,4,6,5,5,5,4,0,0,0,2,2,0,1,0,0,1,0
reuters-topics/crude/article292.txt,18,8,9,16,12,0,7,5,4,3,13,1,0,1,6,1,0,1,6,0
reuters-topics/crude/article523.txt,47,18,14,21,11,11,4,11,1,6,0,7,4,7,2,0,3,1,4,0
reuters-topics/crude/article245.txt,5,3,1,6,3,4,6,7,4,4,0,1,3,1,0,0,1,2,1,0
reuters-topics/crude/article251.txt,3,1,2,2,1,3,2,2,0,1,5,0,0,1,0,0,0,2,0,0
reuters-topics/crude/article537.txt,13,6,4,7,6,5,1,3,2,2,2,1,0,4,0,0,1,0,1,0
reuters-topics/crude/article279.txt,17,16,8,5,7,5,8,3,8,13,0,1,2,7,5,1,0,0,2,0
reuters-topics/crude/article084.txt,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article090.txt,2,0,1,0,1,3,4,0,1,2,0,0,0,0,0,1,2,2,3,0
reuters-topics/crude/article047.txt,5,2,2,0,3,2,0,0,1,3,0,0,1,0,1,1,0,0,1,0
reuters-topics/crude/article053.txt,13,6,7,8,0,6,4,1,1,8,0,1,0,0,1,0,0,1,3,0
reuters-topics/crude/article133.txt,4,1,1,0,1,1,2,1,2,3,0,0,1,0,0,0,3,0,1,0
reuters-topics/crude/article127.txt,17,1,8,3,4,4,7,0,0,5,1,0,1,1,0,6,0,0,2,0
reuters-topics/crude/article494.txt,23,11,13,10,2,5,10,1,3,2,0,2,9,4,1,2,2,4,3,0
reuters-topics/crude/article480.txt,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article457.txt,4,0,3,2,2,3,3,0,0,2,1,0,1,0,1,1,4,2,0,0
reuters-topics/crude/article331.txt,23,7,14,10,13,11,13,7,3,6,7,0,2,3,2,2,3,1,2,0
reuters-topics/crude/article325.txt,16,6,7,4,6,8,5,3,4,6,3,0,4,1,1,2,2,1,1,0
reuters-topics/crude/article443.txt,0,3,1,2,1,1,2,0,0,1,0,0,0,0,0,0,1,0,1,0
reuters-topics/crude/article319.txt,39,17,18,14,11,14,14,4,6,19,7,4,3,6,4,6,4,6,7,1
reuters-topics/crude/article318.txt,3,1,1,3,3,2,1,0,1,3,0,0,2,0,0,0,0,0,2,0
reuters-topics/crude/article324.txt,24,23,10,8,7,7,6,4,5,8,4,1,3,0,2,3,4,1,3,0
reuters-topics/crude/article442.txt,25,12,6,6,5,8,5,5,6,4,2,0,5,1,3,3,5,4,6,0
reuters-topics/crude/article456.txt,19,8,5,2,6,6,5,5,7,11,1,3,4,5,1,1,1,2,2,0
reuters-topics/crude/article330.txt,36,22,19,38,22,22,22,10,6,4,0,5,3,1,5,2,20,6,7,0
reuters-topics/crude/article481.txt,42,17,19,13,12,17,17,14,13,22,2,13,4,12,2,2,0,5,3,0
reuters-topics/crude/article495.txt,16,5,15,9,3,8,3,3,3,4,4,1,2,0,3,2,4,0,1,0
reuters-topics/crude/article126.txt,3,1,1,1,3,1,3,4,2,2,0,3,3,0,0,1,0,0,1,0
reuters-topics/crude/article132.txt,11,4,4,5,6,3,4,6,0,2,0,5,5,1,0,1,3,2,1,0
reuters-topics/crude/article052.txt,12,4,3,3,4,6,4,1,3,8,0,0,3,1,0,0,0,1,1,0
reuters-topics/crude/article046.txt,11,8,7,3,4,4,1,4,3,2,0,1,2,1,2,1,0,0,1,0
reuters-topics/crude/article091.txt,2,0,0,0,1,2,2,0,1,1,0,0,0,0,0,0,1,1,2,0
reuters-topics/crude/article085.txt,4,0,1,0,0,1,3,0,2,1,0,0,0,0,0,0,1,2,0,0
reuters-topics/crude/article278.txt,4,2,1,1,5,4,1,0,0,2,0,0,3,0,2,0,4,0,0,0
reuters-topics/crude/article250.txt,33,11,19,11,16,10,16,14,9,18,0,2,3,3,7,6,1,15,5,0
reuters-topics/crude/article536.txt,28,10,9,12,6,7,4,9,1,2,0,7,2,4,0,0,1,0,3,0
reuters-topics/crude/article522.txt,14,1,8,2,6,3,4,1,1,5,0,0,0,0,0,0,1,2,2,0
reuters-topics/crude/article244.txt,12,5,9,7,2,2,6,4,1,1,1,0,2,4,1,1,1,1,0,1
reuters-topics/crude/article293.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article287.txt,11,8,8,3,3,5,4,2,0,2,0,0,2,2,1,1,1,5,0,0
reuters-topics/crude/article249.txt,5,0,1,3,8,2,0,1,1,4,1,1,0,0,1,0,2,0,0,0
reuters-topics/crude/article261.txt,4,2,2,2,1,2,1,0,0,2,0,0,2,0,1,0,1,2,0,0
reuters-topics/crude/article507.txt,21,19,11,14,5,7,7,3,2,5,2,2,0,5,1,4,2,0,0,0
reuters-topics/crude/article513.txt,14,7,4,5,5,6,5,2,2,7,0,0,3,1,2,4,0,3,0,0
reuters-topics/crude/article275.txt,4,0,7,2,5,1,3,0,0,1,1,1,0,0,0,1,1,1,0,0
reuters-topics/crude/article088.txt,19,1,6,0,3,3,7,2,3,4,0,2,3,7,1,0,2,0,2,0
reuters-topics/crude/article063.txt,5,3,3,6,3,1,3,0,0,2,1,0,0,0,1,0,0,1,0,0
reuters-topics/crude/article077.txt,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article117.txt,10,10,5,4,6,5,3,2,1,1,2,0,0,0,2,0,0,0,1,0
reuters-topics/crude/article103.txt,9,3,2,7,2,6,2,4,0,2,0,2,2,0,1,3,0,0,1,0
reuters-topics/crude/article498.txt,7,5,2,0,1,5,4,3,1,5,0,3,4,4,0,1,1,4,0,0
reuters-topics/crude/article329.txt,24,23,10,8,7,7,6,4,5,8,4,1,3,0,2,3,4,1,3,0
reuters-topics/crude/article315.txt,2,3,0,0,0,2,5,0,2,1,0,0,0,2,0,0,1,0,2,0
reuters-topics/crude/article473.txt,10,2,2,3,3,1,3,1,0,1,0,0,2,0,1,3,2,0,1,0
reuters-topics/crude/article467.txt,13,2,4,3,3,2,3,1,1,1,0,0,4,0,1,0,1,0,1,0
reuters-topics/crude/article301.txt,2,1,2,0,3,2,0,1,1,2,0,0,0,1,0,1,0,0,0,0
reuters-topics/crude/article466.txt,6,5,3,3,1,2,2,1,1,6,1,0,0,2,1,1,3,0,3,0
reuters-topics/crude/article300.txt,4,5,0,2,2,3,1,1,0,3,0,1,2,2,0,0,1,3,0,0
reuters-topics/crude/article314.txt,2,0,1,1,3,2,0,1,2,2,0,1,0,0,0,0,0,1,0,0
reuters-topics/crude/article472.txt,23,13,4,5,9,7,5,2,3,8,1,1,4,1,0,3,2,3,4,0
reuters-topics/crude/article328.txt,5,1,2,4,2,1,1,2,0,2,1,0,2,0,0,0,0,0,2,0
reuters-topics/crude/article499.txt,7,5,2,0,1,5,4,3,1,5,0,3,4,4,0,1,1,4,0,0
reuters-topics/crude/article102.txt,17,2,4,4,4,7,2,4,4,6,3,3,0,1,2,2,3,0,0,0
reuters-topics/crude/article116.txt,25,7,11,4,11,9,8,1,1,9,4,2,4,5,1,4,3,1,2,0
reuters-topics/crude/article076.txt,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article062.txt,16,5,7,10,1,4,4,2,3,8,0,2,2,0,1,2,0,0,0,0
reuters-topics/crude/article089.txt,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article512.txt,17,9,13,6,6,9,4,1,6,6,0,0,1,3,0,1,3,1,0,0
reuters-topics/crude/article274.txt,20,20,22,21,9,16,7,11,7,19,5,0,0,4,4,2,2,6,1,0
reuters-topics/crude/article260.txt,17,4,6,5,4,3,2,6,2,1,0,6,1,0,1,1,0,1,1,0
reuters-topics/crude/article506.txt,12,3,5,1,9,2,0,3,2,9,0,1,0,0,2,24,1,0,0,0
reuters-topics/crude/article248.txt,6,3,4,0,1,2,2,0,1,5,2,0,1,1,3,0,0,0,0,0
reuters-topics/crude/article289.txt,4,2,2,0,1,1,3,1,2,1,0,0,1,0,0,0,2,0,0,0
reuters-topics/crude/article538.txt,21,6,6,7,4,2,2,6,5,0,0,6,1,3,0,2,2,1,1,0
reuters-topics/crude/article276.txt,3,0,1,2,1,2,1,0,1,2,0,0,4,0,0,0,1,1,1,0
reuters-topics/crude/article510.txt,22,3,11,11,19,6,5,4,2,10,2,1,0,0,1,1,6,0,2,0
reuters-topics/crude/article504.txt,5,1,5,0,3,2,2,0,1,1,0,0,0,2,2,1,2,1,0,0
reuters-topics/crude/article262.txt,20,4,6,6,4,5,1,1,2,0,0,0,3,0,0,4,0,0,0,0
reuters-topics/crude/article048.txt,11,5,8,9,6,5,7,2,2,2,1,0,0,1,3,0,5,1,1,0
reuters-topics/crude/article074.txt,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article060.txt,19,6,6,5,5,6,10,6,2,1,0,5,1,4,1,1,0,1,1,0
reuters-topics/crude/article128.txt,32,20,10,15,8,12,4,0,5,14,0,0,9,8,3,0,3,4,2,0
reuters-topics/crude/article100.txt,4,1,1,0,0,2,3,1,2,2,0,0,0,0,0,0,1,0,2,0
reuters-topics/crude/article114.txt,33,15,15,10,5,7,6,12,2,2,0,10,5,4,1,1,1,7,4,0
reuters-topics/crude/article458.txt,17,9,4,4,8,4,7,7,3,12,0,5,6,4,0,0,1,1,2,0
reuters-topics/crude/article302.txt,2,4,4,3,1,0,2,0,1,1,5,0,1,0,0,0,0,0,1,2
reuters-topics/crude/article464.txt,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article470.txt,8,3,6,1,0,3,2,1,0,2,0,1,1,1,1,1,0,2,0,0
reuters-topics/crude/article316.txt,13,5,2,0,3,6,1,2,0,4,0,0,3,3,1,1,2,1,0,0
reuters-topics/crude/article471.txt,8,5,1,2,1,3,6,5,2,4,0,2,1,3,0,1,1,0,4,0
reuters-topics/crude/article317.txt,21,13,9,11,5,8,6,6,4,5,10,0,0,0,7,6,1,0,2,0
reuters-topics/crude/article303.txt,15,13,16,7,7,10,8,5,5,7,4,0,2,4,0,3,6,3,4,0
reuters-topics/crude/article465.txt,6,6,1,6,2,4,6,0,0,3,15,0,0,0,7,0,1,0,1,0
reuters-topics/crude/article459.txt,11,10,8,10,6,9,13,2,7,7,0,0,1,5,0,1,1,1,3,0
reuters-topics/crude/article115.txt,3,5,1,1,1,1,1,5,1,1,0,4,1,0,1,0,1,0,1,0
reuters-topics/crude/article101.txt,43,22,10,24,17,11,21,13,4,12,4,5,2,5,4,9,1,9,2,0
reuters-topics/crude/article129.txt,28,9,1,4,3,7,3,9,2,4,1,6,4,2,2,2,0,1,1,0
reuters-topics/crude/article061.txt,17,2,10,3,2,1,7,2,2,4,3,1,3,0,0,0,1,0,2,0
reuters-topics/crude/article075.txt,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article049.txt,6,5,3,4,8,2,9,2,3,5,1,0,3,3,1,0,3,3,1,0
reuters-topics/crude/article505.txt,7,5,0,4,2,2,3,1,2,1,0,1,1,2,0,0,1,0,0,0
reuters-topics/crude/article263.txt,9,16,5,5,2,6,8,2,7,7,4,2,2,2,1,1,1,1,2,0
reuters-topics/crude/article277.txt,8,3,8,4,2,4,7,2,1,6,1,3,0,3,2,0,0,1,1,0
reuters-topics/crude/article511.txt,16,13,7,8,6,12,5,7,1,9,1,0,6,0,8,2,0,6,3,0
reuters-topics/crude/article539.txt,14,5,2,2,4,3,6,8,2,3,1,0,4,0,1,0,2,1,1,0
reuters-topics/crude/article288.txt,4,1,0,0,0,1,2,1,2,2,0,0,1,0,0,0,2,0,0,0
reuters-topics/crude/article298.txt,30,17,9,10,6,4,1,3,1,2,1,0,3,7,3,0,1,2,3,0
reuters-topics/crude/article515.txt,5,3,2,1,0,4,2,5,0,4,0,0,3,0,0,2,0,0,1,0
reuters-topics/crude/article273.txt,6,9,1,5,2,2,1,1,0,2,16,3,0,0,8,1,0,0,0,0
reuters-topics/crude/article267.txt,19,22,7,9,9,11,6,4,5,12,4,0,1,10,0,1,1,8,0,0
reuters-topics/crude/article501.txt,4,4,2,1,1,1,2,0,1,1,2,0,0,0,0,3,1,0,3,0
reuters-topics/crude/article529.txt,15,17,14,7,5,6,11,5,3,7,0,0,6,2,1,0,1,4,0,0
reuters-topics/crude/article071.txt,7,0,4,0,2,1,4,0,2,2,0,0,0,0,1,0,0,3,1,0
reuters-topics/crude/article065.txt,3,2,3,3,4,5,3,4,1,3,0,1,1,1,1,1,0,1,3,0
reuters-topics/crude/article059.txt,6,3,5,1,3,1,2,4,3,1,0,0,0,5,0,1,0,0,0,0
reuters-topics/crude/article105.txt,8,3,3,2,3,4,3,1,0,4,0,0,0,0,2,3,4,0,0,0
reuters-topics/crude/article111.txt,61,17,29,15,6,0,6,1,6,1,1,1,2,5,3,2,0,0,5,0
reuters-topics/crude/article139.txt,3,0,0,0,2,2,2,2,1,1,0,0,0,0,0,0,0,1,0,0
reuters-topics/crude/article461.txt,27,14,9,21,10,3,10,3,4,10,7,2,2,2,4,0,1,7,2,1
reuters-topics/crude/article307.txt,3,6,2,5,2,4,5,4,3,3,2,2,1,2,5,0,1,1,0,0
reuters-topics/crude/article313.txt,12,6,7,16,7,5,1,1,3,4,22,0,1,0,6,2,4,3,1,0
reuters-topics/crude/article475.txt,41,16,22,18,15,9,17,14,7,14,2,6,4,12,3,5,3,7,7,0
reuters-topics/crude/article449.txt,8,8,5,6,3,6,4,1,0,10,0,1,1,5,0,0,2,7,0,0
reuters-topics/crude/article448.txt,5,1,0,1,2,3,2,1,0,1,0,0,0,0,1,1,1,0,1,0
reuters-topics/crude/article312.txt,6,5,1,3,0,1,5,1,0,2,0,0,1,4,2,0,4,0,1,0
reuters-topics/crude/article474.txt,43,24,29,24,13,10,17,18,11,9,2,10,3,12,3,1,1,8,2,0
reuters-topics/crude/article460.txt,8,9,4,0,2,5,4,4,1,10,0,0,4,2,0,1,0,1,2,0
reuters-topics/crude/article306.txt,6,4,3,4,3,3,2,1,1,3,0,0,0,0,0,5,0,0,0,0
reuters-topics/crude/article138.txt,13,2,4,3,3,4,1,2,4,1,1,1,1,0,0,0,1,2,0,0
reuters-topics/crude/article110.txt,24,13,13,11,9,3,3,8,5,14,7,0,7,1,6,0,4,2,4,0
reuters-topics/crude/article104.txt,26,9,6,7,2,5,2,5,2,1,0,5,2,5,1,0,2,1,0,0
reuters-topics/crude/article058.txt,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article064.txt,4,4,3,2,1,2,3,1,2,3,0,0,0,0,0,0,0,1,0,0
reuters-topics/crude/article070.txt,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article528.txt,6,3,4,4,5,2,2,2,0,0,0,2,1,0,0,0,1,0,3,0
